NM_MUNICIPIO;NR_ZONA;CD_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;QT_VOTOS_NOMINAIS
RORAINÓPOLIS;8;13;EDSON ROCHA DE AMORIM;TELESENA;20;PODE;Podemos;72
MUCAJAÍ;6;13;FRANCISCO ELSON DA CONCEICAO DUARTE;PE DE FERRO;20;PODE;Podemos;325
BOA VISTA;1;13;DEYVID EVERSON SILVA CARNEIRO;DEYVID CARNEIRO;44;UNIÃO;União Brasil;963
BOA VISTA;5;13;DEYVID EVERSON SILVA CARNEIRO;DEYVID CARNEIRO;44;UNIÃO;União Brasil;1083
CARACARAÍ;2;13;FRANCISCO EDINARDO TEIXEIRA;EDINARDO DA DISTRIBUIDORA;11;PP;PROGRESSISTAS;353
CARACARAÍ;2;13;JEFFERSON FERREIRA DE ARAUJO;JEFFERSON GORDINHO;11;PP;PROGRESSISTAS;444
CAROEBE;4;13;WAGNER GONÇALVES DE SOUZA;WAGUINHO;11;PP;PROGRESSISTAS;407
BOA VISTA;1;13;ADJALMA GONÇALVES;ADJALMA GONÇALVES;20;PODE;Podemos;1193
BOA VISTA;5;13;ADJALMA GONÇALVES;ADJALMA GONÇALVES;20;PODE;Podemos;1619
BOA VISTA;5;13;MARIA INES MATURANO LOPES;TUTI LOPES;20;PODE;Podemos;1213
BOA VISTA;1;13;MARIA INES MATURANO LOPES;TUTI LOPES;20;PODE;Podemos;1491
SÃO JOÃO DA BALIZA;4;13;ITANCLEIDE SILVA E SILVA;TEIDE CABRAL;20;PODE;Podemos;174
BOA VISTA;5;13;ALINE MARIA DE MENEZES REZENDE CHAGAS;ALINE REZENDE;11;PP;PROGRESSISTAS;1053
BOA VISTA;1;13;ALINE MARIA DE MENEZES REZENDE CHAGAS;ALINE REZENDE;11;PP;PROGRESSISTAS;1726
BOA VISTA;1;13;BARBARA RIBEIRO FALCÃO;BARBARA FALCÃO;11;PP;PROGRESSISTAS;1842
BOA VISTA;5;13;BARBARA RIBEIRO FALCÃO;BARBARA FALCÃO;11;PP;PROGRESSISTAS;1412
CANTÁ;5;13;CLAUDIO GOMES DE LIMA;CLAUDIO LIMA;44;UNIÃO;União Brasil;376
PACARAIMA;7;13;ALUIZIO SOARES AZEVEDO;ALUIZIO AZEVEDO ;20;PODE;Podemos;344
BONFIM;5;13;ZACARIAS EDVINO DOUGLAS;ZACARIAS DOUGLAS;11;PP;PROGRESSISTAS;628
UIRAMUTÃ;7;13;GILBERTO PAULO CORDEIRO;GILBERTO DO MORRO;43;PV;Partido Verde;304
CAROEBE;4;13;RONALDO DE JESUS VELOSO;RONALDO;22;PL;Partido Liberal;238
IRACEMA;6;13;NILSON DA SILVA VIEIRA;NILSON VIEIRA;44;UNIÃO;União Brasil;268
UIRAMUTÃ;7;13;GRACE BELLE BRASIL DIAS;GREYCE BRASIL;11;PP;PROGRESSISTAS;227
SÃO LUIZ;4;13;ROBERTO DA ROCHA SILVA;CURIÓ;11;PP;PROGRESSISTAS;299
NORMANDIA;5;13;GEANE DE SOUSA ROCHA;IRMÃ GEANE;11;PP;PROGRESSISTAS;259
AMAJARI;7;13;RODRIGO PEIXOTO LAGO;RODRIGO LAGO ;20;PODE;Podemos;320
CARACARAÍ;2;13;GILDECI BARBOSA SILVA;CARAPANÃ;11;PP;PROGRESSISTAS;347
CAROEBE;4;13;IVONILDE DA SILVA NASCIMENTO;BOB;11;PP;PROGRESSISTAS;361
BOA VISTA;5;13;GILDEVALDO DA LUZ ROCHA;PR GILL ROCHA;20;PODE;Podemos;1448
BONFIM;5;13;RUDEMBERG SOUSA DUTRA;PROF. BERG;20;PODE;Podemos;84
BONFIM;5;13;FÁBIO TOMAZ DAVI;FÁBIO TOMAZ;20;PODE;Podemos;41
CANTÁ;5;13;TALITA PEREIRA VERDE;TALITA PEREIRA;43;PV;Partido Verde;2
CANTÁ;5;13;KLEITON DA SILVA SOUZA;KLEITON DO CANTÁ;43;PV;Partido Verde;44
BOA VISTA;1;13;ARIOSTO APARECIDO BRITO;ARI BRITO;45;PSDB;Partido da Social Democracia Brasileira;99
BOA VISTA;5;13;ARIOSTO APARECIDO BRITO;ARI BRITO;45;PSDB;Partido da Social Democracia Brasileira;205
BOA VISTA;1;13;FABRÍCIO OLIVEIRA REGO;SARGENTO FABRÍCIO;45;PSDB;Partido da Social Democracia Brasileira;70
BOA VISTA;1;11;MAURO NAKASHIMA DE MELO;MAURO NAKASHIMA;43;PV;Partido Verde;1383
BOA VISTA;5;11;MAURO NAKASHIMA DE MELO;MAURO NAKASHIMA;43;PV;Partido Verde;683
BOA VISTA;5;13;FABRÍCIO OLIVEIRA REGO;SARGENTO FABRÍCIO;45;PSDB;Partido da Social Democracia Brasileira;44
BOA VISTA;1;13;RORAIMA DIAS VERAS;RORAIMA VERAS;45;PSDB;Partido da Social Democracia Brasileira;65
BOA VISTA;5;13;RORAIMA DIAS VERAS;RORAIMA VERAS;45;PSDB;Partido da Social Democracia Brasileira;24
BOA VISTA;5;13;ELSON PAIVA DE MOURA;CORONEL PAIVA;45;PSDB;Partido da Social Democracia Brasileira;52
BOA VISTA;1;13;ELSON PAIVA DE MOURA;CORONEL PAIVA;45;PSDB;Partido da Social Democracia Brasileira;85
BOA VISTA;1;13;ELIVALDO MENDES CAVALCANTE;ELIVALDO CAVALCANTE;45;PSDB;Partido da Social Democracia Brasileira;302
BOA VISTA;5;13;ELIVALDO MENDES CAVALCANTE;ELIVALDO CAVALCANTE;45;PSDB;Partido da Social Democracia Brasileira;282
BOA VISTA;1;13;MARIA ELIZABETE DA SILVA CAMARGOS;BETH CAMARGOS;45;PSDB;Partido da Social Democracia Brasileira;170
BOA VISTA;5;13;MARIA ELIZABETE DA SILVA CAMARGOS;BETH CAMARGOS;45;PSDB;Partido da Social Democracia Brasileira;23
BOA VISTA;1;13;SANDRO CAVALCANTE FRANÇA;SANDRO FOFOQUINHA;45;PSDB;Partido da Social Democracia Brasileira;21
BOA VISTA;5;13;SANDRO CAVALCANTE FRANÇA;SANDRO FOFOQUINHA;45;PSDB;Partido da Social Democracia Brasileira;15
BOA VISTA;5;13;JERSE JAMES ARAUJO PINHEIRO JUNIOR;JOTA DA SAÚDE;45;PSDB;Partido da Social Democracia Brasileira;782
BOA VISTA;1;13;JERSE JAMES ARAUJO PINHEIRO JUNIOR;JOTA DA SAÚDE;45;PSDB;Partido da Social Democracia Brasileira;999
BOA VISTA;5;13;LEOMA FERREIRA;LEOMA FERREIRA;45;PSDB;Partido da Social Democracia Brasileira;57
BOA VISTA;1;13;LEOMA FERREIRA;LEOMA FERREIRA;45;PSDB;Partido da Social Democracia Brasileira;21
BOA VISTA;5;13;MARIA DIZANETE DE SOUZA MATIAS;DRA DIZANETE;45;PSDB;Partido da Social Democracia Brasileira;45
BOA VISTA;1;13;MARIA DIZANETE DE SOUZA MATIAS;DRA DIZANETE;45;PSDB;Partido da Social Democracia Brasileira;296
BOA VISTA;5;13;VANESSA MATOS PINHEIRO;VANESSA PINHEIRO;45;PSDB;Partido da Social Democracia Brasileira;298
BOA VISTA;1;13;VANESSA MATOS PINHEIRO;VANESSA PINHEIRO;45;PSDB;Partido da Social Democracia Brasileira;353
BOA VISTA;1;13;FRANCINAIRA DA SILVA NOGUEIRA;NAYRA NOGUEIRA;43;PV;Partido Verde;9
BOA VISTA;5;13;FRANCINAIRA DA SILVA NOGUEIRA;NAYRA NOGUEIRA;43;PV;Partido Verde;20
BOA VISTA;5;13;ALAN MARCONDES DE FREITAS;MARCONDES;43;PV;Partido Verde;25
BOA VISTA;1;13;ALAN MARCONDES DE FREITAS;MARCONDES;43;PV;Partido Verde;34
BOA VISTA;5;13;ZILDO JANUÁRIO RAPOSO;ZILDO JANUÁRIO;43;PV;Partido Verde;12
CANTÁ;5;13;VALDIRENE ABREU SILVA;NEGONA PARA-RAIO;12;PDT;Partido Democrático Trabalhista;11
CANTÁ;5;13;RENATA BARBOSA NASCIMENTO;RENATINHA BARBOSA;12;PDT;Partido Democrático Trabalhista;41
CANTÁ;5;13;FRANCIMEIRO FROZ DE OLIVEIRA;BERECA;12;PDT;Partido Democrático Trabalhista;56
CANTÁ;5;13;GUTEMBERG DO NASCIMENTO SOUSA;GUGU;12;PDT;Partido Democrático Trabalhista;198
CANTÁ;5;13;JESSÉ DOS SANTOS SILVA;JESSÉ;12;PDT;Partido Democrático Trabalhista;259
CANTÁ;5;13;GLEIDSON NICASIO RODRIGUES;GLEIDSON NICACIO;12;PDT;Partido Democrático Trabalhista;69
CANTÁ;5;13;ABILIO DIAS DE ANDRADE NETO;ABILIO ANDRADE;12;PDT;Partido Democrático Trabalhista;44
CANTÁ;5;13;ELIZABETE NASCIMENTO ROSA DE SOUZA;PROFESSORA BETE;12;PDT;Partido Democrático Trabalhista;120
CANTÁ;5;13;JORGE ERIVAN LOPES OLIVEIRA;JORGE DO CANTÁ;12;PDT;Partido Democrático Trabalhista;394
SÃO LUIZ;4;13;SIDNEI NASCIMENTO DA SILVA;BRABO;12;PDT;Partido Democrático Trabalhista;1
SÃO LUIZ;4;13;ROSEANY DO NASCIMENTO VIANA;ROSE VIANA;12;PDT;Partido Democrático Trabalhista;8
SÃO LUIZ;4;13;JOSSILEUSON ALVES LIMA;JOSSILEUSON ;12;PDT;Partido Democrático Trabalhista;135
SÃO LUIZ;4;13;EVION PEREIRA LEITE;BAMBAM LEITE;12;PDT;Partido Democrático Trabalhista;153
SÃO LUIZ;4;13;SILVERA PEREIRA DA COSTA;SILVERA PEREIRA;12;PDT;Partido Democrático Trabalhista;64
SÃO LUIZ;4;13;HELTON RIBEIRO DE ALMEIDA;HELTON DA MODERNA;12;PDT;Partido Democrático Trabalhista;38
